,Unnamed: 0,date,open,close,high,low,volume,money
0,0,2005-01-04,1.76,1.74,1.79,1.69,230454.0,404746.0
1,1,2005-01-05,1.78,1.77,1.78,1.74,313308.0,553594.0
2,2,2005-01-06,1.75,1.8,1.81,1.74,508865.0,899166.0
3,3,2005-01-07,1.76,1.78,1.81,1.74,224748.0,400052.0
4,4,2005-01-10,1.78,1.8,1.8,1.78,191123.0,342852.0
5,5,2005-01-11,1.8,1.85,1.85,1.8,390916.0,711881.0
6,6,2005-01-12,1.87,1.86,1.91,1.86,1444144.0,2713304.0
7,7,2005-01-13,1.85,1.85,1.86,1.81,680739.0,1249509.0
8,8,2005-01-14,1.82,1.82,1.85,1.81,344443.0,630813.0
9,9,2005-01-17,1.8,1.76,1.81,1.75,388260.0,685750.0
10,10,2005-01-18,1.76,1.79,1.8,1.76,293445.0,519903.0
11,11,2005-01-19,1.78,1.81,1.81,1.77,364096.0,653074.0
12,12,2005-01-20,1.8,1.77,1.8,1.75,300038.0,532872.0
13,13,2005-01-21,1.8,1.8,1.8,1.74,387870.0,691149.0
14,14,2005-01-24,1.86,1.83,1.87,1.81,562541.0,1030873.0
15,15,2005-01-25,1.83,1.94,1.99,1.82,4307529.0,8291890.0
16,16,2005-01-26,1.9,1.91,1.97,1.88,2952951.0,5705866.0
17,17,2005-01-27,1.9,1.85,1.9,1.83,1063660.0,1968044.0
18,18,2005-01-28,1.85,1.76,1.85,1.75,1119891.0,1999020.0
19,19,2005-01-31,1.76,1.73,1.82,1.72,638485.0,1123565.0
20,20,2005-02-01,1.71,1.69,1.77,1.67,587913.0,1010590.0
21,21,2005-02-02,1.69,1.83,1.86,1.69,1412868.0,2534972.0
22,22,2005-02-03,1.81,1.78,1.83,1.76,742940.0,1333523.0
23,23,2005-02-04,1.77,1.8,1.82,1.76,463972.0,827752.0
24,24,2005-02-16,1.8,1.82,1.85,1.8,421929.0,770342.0
25,25,2005-02-17,1.83,1.84,1.84,1.77,289516.0,522427.0
26,26,2005-02-18,1.82,1.8,1.82,1.8,240023.0,434117.0
27,27,2005-02-21,1.8,1.83,1.84,1.8,346559.0,631642.0
28,28,2005-02-22,1.82,1.87,1.88,1.82,1501861.0,2788705.0
29,29,2005-02-23,1.86,1.89,1.92,1.85,1497873.0,2832182.0
30,30,2005-02-24,1.89,1.91,1.95,1.89,2063666.0,3958995.0
31,31,2005-02-25,1.91,1.9,1.93,1.9,1093033.0,2085781.0
32,32,2005-02-28,1.9,1.91,1.95,1.9,1405002.0,2703589.0
33,33,2005-03-01,1.88,1.88,1.9,1.86,786386.0,1479731.0
34,34,2005-03-02,1.89,1.94,2.04,1.89,3511552.0,6898672.0
35,35,2005-03-03,1.95,1.95,1.95,1.9,1557475.0,2996796.0
36,36,2005-03-04,1.94,1.95,1.95,1.91,516059.0,997611.0
37,37,2005-03-07,1.92,1.98,1.98,1.92,1091562.0,2142630.0
38,38,2005-03-08,1.98,1.99,1.99,1.95,1015554.0,1999531.0
39,39,2005-03-09,1.99,2.01,2.03,1.91,1763187.0,3494867.0
40,40,2005-03-10,2.0,2.03,2.04,1.94,2780347.0,5551135.0
41,41,2005-03-11,2.0,2.0,2.03,1.97,1851865.0,3715541.0
42,42,2005-03-14,2.0,2.0,2.04,1.91,1881565.0,3741519.0
43,43,2005-03-15,1.98,1.92,2.02,1.92,1285071.0,2531116.0
44,44,2005-03-16,1.92,1.82,1.93,1.75,1102207.0,2036683.0
45,45,2005-03-17,1.81,1.8,1.84,1.78,901677.0,1634908.0
46,46,2005-03-18,1.8,1.81,1.85,1.8,627566.0,1143342.0
47,47,2005-03-21,1.8,1.81,1.84,1.77,408409.0,731409.0
48,48,2005-03-22,1.81,1.72,1.81,1.69,660855.0,1149418.0
49,49,2005-03-23,1.72,1.73,1.75,1.69,433912.0,750457.0
50,50,2005-03-24,1.73,1.74,1.75,1.69,377980.0,651478.0
51,51,2005-03-25,1.74,1.75,1.77,1.72,282471.0,493626.0
52,52,2005-03-28,1.75,1.71,1.75,1.68,326806.0,555589.0
53,53,2005-03-29,1.69,1.71,1.75,1.68,249988.0,428257.0
54,54,2005-03-30,1.69,1.61,1.7,1.59,599532.0,980510.0
55,55,2005-03-31,1.59,1.62,1.63,1.55,460478.0,733138.0
